image_name,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_gust_set_1,wind_direction_set_1,dew_point_temperature_set_1d,u,v
20190813_Topanga_69bravo-n-mobo/1565728842_-02400,-0.2778380857835118,1.6259467653119057,-1.1847408958459869,-1.0037361018973316,-0.488996351811214,1.3642128498792716,-0.7928140982846722,0.2819595326646768
20190813_Topanga_69bravo-n-mobo/1565728902_-02340,-0.2778380857835118,1.6259467653119057,-1.1847408958459869,-1.0037361018973316,-0.488996351811214,1.3642128498792716,-0.7928140982846722,0.2819595326646768
20190813_Topanga_69bravo-n-mobo/1565728962_-02280,-0.2778380857835118,1.6259467653119057,-1.1847408958459869,-1.0037361018973316,-0.488996351811214,1.3642128498792716,-0.7928140982846722,0.2819595326646768
20190813_Topanga_69bravo-n-mobo/1565729022_-02220,-0.2778380857835118,1.6259467653119057,-1.1847408958459869,-1.0037361018973316,-0.488996351811214,1.3642128498792716,-0.7928140982846722,0.2819595326646768
20190813_Topanga_69bravo-n-mobo/1565729082_-02160,-0.2778380857835118,1.6259467653119057,-1.1847408958459869,-1.0037361018973316,-0.488996351811214,1.3642128498792716,-0.7928140982846722,0.2819595326646768
20190813_Topanga_69bravo-n-mobo/1565729142_-02100,-0.2778380857835118,1.6259467653119057,-1.1847408958459869,-1.0037361018973316,-0.488996351811214,1.3642128498792716,-0.7928140982846722,0.2819595326646768
20190813_Topanga_69bravo-n-mobo/1565729204_-02038,-0.2778380857835118,1.6259467653119057,-1.1847408958459869,-1.0037361018973316,-0.488996351811214,1.3642128498792716,-0.7928140982846722,0.2819595326646768
20190813_Topanga_69bravo-n-mobo/1565729262_-01980,-0.2778380857835118,1.6259467653119057,-1.1847408958459869,-1.0037361018973316,-0.488996351811214,1.3642128498792716,-0.7928140982846722,0.2819595326646768
20190813_Topanga_69bravo-n-mobo/1565729323_-01919,-0.2778380857835118,1.6259467653119057,-1.1847408958459869,-1.0037361018973316,-0.488996351811214,1.3642128498792716,-0.7928140982846722,0.2819595326646768
20190813_Topanga_69bravo-n-mobo/1565729382_-01860,-0.2778380857835118,1.6259467653119057,-1.1847408958459869,-1.0037361018973316,-0.488996351811214,1.3642128498792716,-0.7928140982846722,0.2819595326646768
20190813_Topanga_69bravo-n-mobo/1565729442_-01800,-0.3006223196089187,1.6454370291962548,-1.1585460648197288,-1.0304052775990735,-0.43276469340948226,1.3594721898071254,-0.8331608022613226,0.2382218663763338
20190813_Topanga_69bravo-n-mobo/1565729502_-01740,-0.3006223196089187,1.6454370291962548,-1.1585460648197288,-1.0304052775990735,-0.43276469340948226,1.3594721898071254,-0.8331608022613226,0.2382218663763338
20190813_Topanga_69bravo-n-mobo/1565729562_-01680,-0.3006223196089187,1.6454370291962548,-1.1585460648197288,-1.0304052775990735,-0.43276469340948226,1.3594721898071254,-0.8331608022613226,0.2382218663763338
20190813_Topanga_69bravo-n-mobo/1565729622_-01620,-0.3006223196089187,1.6454370291962548,-1.1585460648197288,-1.0304052775990735,-0.43276469340948226,1.3594721898071254,-0.8331608022613226,0.2382218663763338
20190813_Topanga_69bravo-n-mobo/1565729682_-01560,-0.3006223196089187,1.6454370291962548,-1.1585460648197288,-1.0304052775990735,-0.43276469340948226,1.3594721898071254,-0.8331608022613226,0.2382218663763338
